filename,x,y,w,h,label
CV19_label_renamed_100.json,1047,135,118,95,2
CV19_label_renamed_100.json,1037,243,91,114,2
CV19_label_renamed_100.json,1126,282,36,50,0
CV19_label_renamed_100.json,633,602,116,134,1
CV19_label_renamed_100.json,709,814,49,57,0
CV19_label_renamed_100.json,1047,135,118,95,2
CV19_label_renamed_100.json,1037,243,91,114,2
CV19_label_renamed_100.json,1126,282,36,50,0
CV19_label_renamed_100.json,633,602,116,134,1
CV19_label_renamed_100.json,709,814,49,57,0
CV19_label_renamed_100.json,1047,135,118,95,2
CV19_label_renamed_100.json,1037,243,91,114,2
CV19_label_renamed_100.json,1126,282,36,50,0
CV19_label_renamed_100.json,633,602,116,134,1
CV19_label_renamed_100.json,709,814,49,57,0
CV19_label_renamed_1.json,655,154,99,209,1
CV19_label_renamed_1.json,234,169,243,120,1
CV19_label_renamed_1.json,749,632,84,76,0
CV19_label_renamed_1.json,885,935,67,83,0
CV19_label_renamed_1.json,602,669,190,147,2
CV19_label_renamed_1.json,1136,867,190,158,2
CV19_label_renamed_1.json,763,154,142,179,2
CV19_label_renamed_10.json,498,377,145,165,2
CV19_label_renamed_10.json,880,449,178,153,2
CV19_label_renamed_10.json,985,590,143,175,2
CV19_label_renamed_10.json,1225,637,203,173,1
CV19_label_renamed_10.json,1240,337,103,218,1
CV19_label_renamed_10.json,672,994,216,93,1
CV19_label_renamed_100.json,1047,135,118,95,2
CV19_label_renamed_100.json,1037,243,91,114,2
CV19_label_renamed_100.json,1126,282,36,50,0
CV19_label_renamed_100.json,633,602,116,134,1
CV19_label_renamed_100.json,709,814,49,57,0
CV19_label_renamed_11.json,87,294,180,74,1
CV19_label_renamed_11.json,474,449,135,123,1
CV19_label_renamed_11.json,97,498,93,129,1
CV19_label_renamed_11.json,64,545,94,150,1
CV19_label_renamed_11.json,314,620,85,154,1
CV19_label_renamed_11.json,376,690,123,103,2
CV19_label_renamed_11.json,257,775,95,105,2
CV19_label_renamed_11.json,185,845,54,56,0
CV19_label_renamed_11.json,134,852,52,50,0
CV19_label_renamed_12.json,100,309,164,76,1
CV19_label_renamed_12.json,725,203,84,130,1
CV19_label_renamed_12.json,842,169,56,50,0
CV19_label_renamed_12.json,697,164,51,48,0
CV19_label_renamed_12.json,755,164,50,40,0
CV19_label_renamed_12.json,780,535,123,83,2
CV19_label_renamed_12.json,951,509,109,95,2
CV19_label_renamed_12.json,923,605,124,88,2
CV19_label_renamed_12.json,531,286,101,124,2
CV19_label_renamed_13.json,455,434,103,119,2
CV19_label_renamed_13.json,698,451,96,121,2
CV19_label_renamed_13.json,251,775,116,88,2
CV19_label_renamed_13.json,434,817,101,114,2
CV19_label_renamed_13.json,257,856,158,73,1
CV19_label_renamed_13.json,531,826,167,88,1
CV19_label_renamed_13.json,674,788,154,97,1
CV19_label_renamed_13.json,970,779,143,82,1
CV19_label_renamed_14.json,565,445,110,135,2
CV19_label_renamed_14.json,1030,355,52,56,0
CV19_label_renamed_14.json,1028,239,67,47,0
CV19_label_renamed_14.json,830,444,74,192,1
CV19_label_renamed_14.json,699,599,176,96,1
CV19_label_renamed_14.json,605,759,196,136,1
CV19_label_renamed_14.json,643,897,54,53,0
CV19_label_renamed_15.json,413,781,150,114,2
CV19_label_renamed_15.json,794,738,58,52,0
CV19_label_renamed_15.json,633,505,54,63,0
CV19_label_renamed_15.json,359,634,57,57,0
CV19_label_renamed_15.json,637,295,118,135,2
CV19_label_renamed_15.json,773,205,58,47,0
CV19_label_renamed_16.json,921,503,189,137,1
CV19_label_renamed_16.json,1016,284,65,57,0
CV19_label_renamed_16.json,805,593,141,141,2
CV19_label_renamed_16.json,1033,790,189,100,1
CV19_label_renamed_17.json,725,172,126,116,2
CV19_label_renamed_17.json,564,399,115,139,2
CV19_label_renamed_17.json,905,789,160,135,2
CV19_label_renamed_17.json,1206,502,146,108,2
CV19_label_renamed_17.json,1064,637,70,59,0
CV19_label_renamed_17.json,519,353,61,72,0
CV19_label_renamed_18.json,1158,853,64,58,0
CV19_label_renamed_18.json,746,700,188,100,1
CV19_label_renamed_18.json,585,462,157,113,2
CV19_label_renamed_18.json,385,468,177,158,1
CV19_label_renamed_19.json,1175,425,57,55,0
CV19_label_renamed_19.json,1136,725,124,141,2
CV19_label_renamed_19.json,689,329,158,119,1
CV19_label_renamed_19.json,669,902,60,52,0
CV19_label_renamed_19.json,726,509,133,132,2
CV19_label_renamed_2.json,914,673,234,116,1
CV19_label_renamed_2.json,702,313,96,206,1
CV19_label_renamed_2.json,606,362,116,227,1
CV19_label_renamed_2.json,429,345,114,207,1
CV19_label_renamed_2.json,534,396,79,76,0
CV19_label_renamed_2.json,364,400,81,74,0
CV19_label_renamed_2.json,1253,888,77,75,0
CV19_label_renamed_20.json,758,489,149,112,2
CV19_label_renamed_20.json,681,374,136,185,1
CV19_label_renamed_20.json,610,364,122,141,2
CV19_label_renamed_20.json,498,219,181,121,1
CV19_label_renamed_21.json,988,513,172,111,1
CV19_label_renamed_21.json,851,874,63,64,0
CV19_label_renamed_21.json,636,224,56,60,0
CV19_label_renamed_22.json,678,834,63,65,0
CV19_label_renamed_22.json,789,489,184,146,1
CV19_label_renamed_22.json,590,724,229,85,1
CV19_label_renamed_22.json,846,310,147,119,2
CV19_label_renamed_22.json,601,167,141,120,2
CV19_label_renamed_24.json,596,600,67,63,0
CV19_label_renamed_24.json,1224,341,68,62,0
CV19_label_renamed_24.json,803,631,78,66,0
CV19_label_renamed_24.json,521,872,68,68,0
CV19_label_renamed_24.json,880,388,59,57,0
CV19_label_renamed_24.json,656,836,69,73,0
CV19_label_renamed_24.json,862,160,68,71,0
CV19_label_renamed_24.json,523,172,71,65,0
CV19_label_renamed_25.json,815,82,66,68,0
CV19_label_renamed_25.json,847,213,57,57,0
CV19_label_renamed_25.json,635,571,68,73,0
CV19_label_renamed_25.json,1173,118,93,215,1
CV19_label_renamed_25.json,985,194,83,171,1
CV19_label_renamed_25.json,417,899,216,105,1
CV19_label_renamed_25.json,972,773,154,156,2
CV19_label_renamed_25.json,627,748,141,132,2
CV19_label_renamed_25.json,300,849,149,151,2
CV19_label_renamed_26.json,403,176,71,70,0
CV19_label_renamed_26.json,432,872,62,65,0
CV19_label_renamed_26.json,1155,90,122,132,2
CV19_label_renamed_26.json,410,425,128,152,2
CV19_label_renamed_26.json,367,310,119,171,1
CV19_label_renamed_26.json,599,586,175,194,1
CV19_label_renamed_27.json,647,114,67,60,0
CV19_label_renamed_27.json,549,127,59,62,0
CV19_label_renamed_27.json,936,403,223,118,1
CV19_label_renamed_27.json,434,470,101,177,1
CV19_label_renamed_28.json,539,483,150,122,2
CV19_label_renamed_28.json,485,601,158,125,2
CV19_label_renamed_28.json,602,779,169,127,2
CV19_label_renamed_29.json,552,287,57,61,0
CV19_label_renamed_29.json,712,312,70,66,0
CV19_label_renamed_29.json,452,513,175,177,1
CV19_label_renamed_29.json,224,650,192,82,1
CV19_label_renamed_29.json,435,827,237,95,1
CV19_label_renamed_29.json,841,544,124,149,2
CV19_label_renamed_29.json,1080,787,131,154,2
CV19_label_renamed_3.json,751,115,86,159,1
CV19_label_renamed_3.json,1027,218,108,154,1
CV19_label_renamed_3.json,561,626,163,139,1
CV19_label_renamed_3.json,887,658,78,71,0
CV19_label_renamed_3.json,842,565,78,71,0
CV19_label_renamed_3.json,663,501,78,71,0
CV19_label_renamed_3.json,897,211,135,114,2
CV19_label_renamed_3.json,1172,139,135,111,2
CV19_label_renamed_30.json,317,517,148,172,1
CV19_label_renamed_30.json,468,488,129,199,1
CV19_label_renamed_30.json,757,397,146,189,1
CV19_label_renamed_30.json,856,357,162,127,1
CV19_label_renamed_30.json,964,215,183,174,1
CV19_label_renamed_31.json,545,636,168,137,2
CV19_label_renamed_31.json,658,541,140,145,2
CV19_label_renamed_31.json,778,471,158,125,2
CV19_label_renamed_31.json,662,400,143,122,2
CV19_label_renamed_32.json,513,139,120,155,2
CV19_label_renamed_32.json,340,400,135,119,2
CV19_label_renamed_32.json,548,713,146,152,2
CV19_label_renamed_32.json,292,840,153,161,2
CV19_label_renamed_33.json,789,60,70,61,0
CV19_label_renamed_33.json,691,127,144,124,2
CV19_label_renamed_33.json,631,250,163,173,1
CV19_label_renamed_33.json,871,380,195,131,1
CV19_label_renamed_33.json,1097,337,106,169,1
CV19_label_renamed_33.json,1262,404,67,69,0
CV19_label_renamed_33.json,1044,395,69,65,0
CV19_label_renamed_33.json,860,464,125,170,2
CV19_label_renamed_33.json,932,788,126,161,2
CV19_label_renamed_34.json,385,559,70,68,0
CV19_label_renamed_34.json,1177,501,71,68,0
CV19_label_renamed_34.json,817,91,65,63,0
CV19_label_renamed_34.json,1127,56,191,122,1
CV19_label_renamed_34.json,767,199,85,178,1
CV19_label_renamed_34.json,861,258,101,208,1
CV19_label_renamed_34.json,1197,684,151,158,2
CV19_label_renamed_34.json,867,810,139,153,2
CV19_label_renamed_34.json,1067,819,139,116,2
CV19_label_renamed_35.json,1190,182,64,68,0
CV19_label_renamed_35.json,694,352,65,66,0
CV19_label_renamed_35.json,1075,474,64,73,0
CV19_label_renamed_35.json,769,621,61,63,0
CV19_label_renamed_35.json,920,719,67,74,0
CV19_label_renamed_35.json,508,122,117,147,2
CV19_label_renamed_35.json,631,599,126,162,2
CV19_label_renamed_35.json,727,771,146,141,2
CV19_label_renamed_35.json,1090,534,161,131,2
CV19_label_renamed_35.json,1051,292,183,175,1
CV19_label_renamed_35.json,607,399,214,111,1
CV19_label_renamed_35.json,818,643,134,194,1
CV19_label_renamed_35.json,1002,427,91,177,1
CV19_label_renamed_36.json,1129,83,100,216,1
CV19_label_renamed_36.json,1121,414,82,175,1
CV19_label_renamed_36.json,1134,775,190,148,1
CV19_label_renamed_36.json,916,201,94,210,1
CV19_label_renamed_36.json,613,117,145,141,2
CV19_label_renamed_36.json,353,187,154,125,2
CV19_label_renamed_36.json,383,300,149,126,2
CV19_label_renamed_36.json,509,697,142,168,2
CV19_label_renamed_36.json,734,361,63,67,0
CV19_label_renamed_36.json,603,464,74,64,0
CV19_label_renamed_36.json,444,930,77,73,0
CV19_label_renamed_36.json,519,909,69,68,0
CV19_label_renamed_36.json,1058,894,64,59,0
CV19_label_renamed_37.json,683,74,65,69,0
CV19_label_renamed_37.json,704,203,66,68,0
CV19_label_renamed_37.json,888,555,63,57,0
CV19_label_renamed_37.json,437,214,215,95,1
CV19_label_renamed_37.json,658,368,127,217,1
CV19_label_renamed_37.json,878,594,179,93,1
CV19_label_renamed_37.json,709,860,171,130,2
CV19_label_renamed_37.json,558,851,154,138,2
CV19_label_renamed_37.json,408,876,153,124,2
CV19_label_renamed_38.json,556,31,64,62,0
CV19_label_renamed_38.json,853,863,75,58,0
CV19_label_renamed_38.json,506,284,252,85,1
CV19_label_renamed_38.json,999,418,159,187,1
CV19_label_renamed_38.json,551,536,148,167,1
CV19_label_renamed_38.json,938,233,122,147,2
CV19_label_renamed_38.json,1156,618,144,175,2
CV19_label_renamed_38.json,1275,497,161,117,2
CV19_label_renamed_38.json,725,752,154,133,2
CV19_label_renamed_4.json,1147,400,122,125,2
CV19_label_renamed_4.json,1463,547,152,120,2
CV19_label_renamed_4.json,1017,724,81,77,0
CV19_label_renamed_4.json,681,303,66,60,0
CV19_label_renamed_4.json,731,179,53,57,0
CV19_label_renamed_4.json,940,109,61,59,0
CV19_label_renamed_40.json,558,20,55,62,0
CV19_label_renamed_40.json,623,84,63,58,0
CV19_label_renamed_40.json,637,152,63,59,0
CV19_label_renamed_40.json,593,258,152,122,2
CV19_label_renamed_40.json,471,757,128,170,2
CV19_label_renamed_40.json,877,317,132,231,1
CV19_label_renamed_40.json,1174,313,121,202,1
CV19_label_renamed_41.json,478,12,245,85,1
CV19_label_renamed_41.json,946,246,103,210,1
CV19_label_renamed_41.json,674,476,157,122,2
CV19_label_renamed_41.json,556,663,157,146,2
CV19_label_renamed_42.json,590,266,64,59,0
CV19_label_renamed_42.json,401,911,63,60,0
CV19_label_renamed_42.json,846,727,135,152,2
CV19_label_renamed_42.json,1081,449,145,140,2
CV19_label_renamed_42.json,958,826,171,149,2
CV19_label_renamed_42.json,424,820,171,123,2
CV19_label_renamed_42.json,663,208,213,89,1
CV19_label_renamed_42.json,884,116,186,194,1
CV19_label_renamed_43.json,616,338,61,59,0
CV19_label_renamed_43.json,719,282,63,62,0
CV19_label_renamed_43.json,851,532,136,145,2
CV19_label_renamed_43.json,809,764,165,196,1
CV19_label_renamed_43.json,621,815,235,145,1
CV19_label_renamed_44.json,743,97,64,61,0
CV19_label_renamed_44.json,1243,79,62,64,0
CV19_label_renamed_44.json,588,160,159,219,1
CV19_label_renamed_44.json,649,584,182,192,1
CV19_label_renamed_44.json,745,260,133,153,2
CV19_label_renamed_44.json,988,439,166,150,2
CV19_label_renamed_44.json,785,784,148,143,2
CV19_label_renamed_45.json,502,180,155,219,1
CV19_label_renamed_45.json,1330,332,83,199,1
CV19_label_renamed_45.json,496,644,117,215,1
CV19_label_renamed_45.json,1067,865,206,120,1
CV19_label_renamed_45.json,574,678,191,136,2
CV19_label_renamed_46.json,736,207,137,172,2
CV19_label_renamed_46.json,1077,818,149,135,2
CV19_label_renamed_46.json,1322,842,143,135,2
CV19_label_renamed_46.json,535,536,136,201,1
CV19_label_renamed_46.json,662,888,251,89,1
CV19_label_renamed_47.json,563,616,65,61,0
CV19_label_renamed_47.json,1044,192,72,67,0
CV19_label_renamed_47.json,859,200,136,150,2
CV19_label_renamed_47.json,444,604,127,162,2
CV19_label_renamed_47.json,1158,476,205,102,1
CV19_label_renamed_48.json,341,107,84,192,1
CV19_label_renamed_48.json,423,208,64,59,0
CV19_label_renamed_48.json,899,0,78,145,1
CV19_label_renamed_48.json,1039,25,134,116,2
CV19_label_renamed_48.json,570,401,106,159,1
CV19_label_renamed_48.json,479,692,66,70,0
CV19_label_renamed_48.json,1119,616,111,147,2
CV19_label_renamed_48.json,1176,791,61,65,0
CV19_label_renamed_48.json,1024,314,55,54,0
